,locked_on_date,bdidx_avgdiff_holiday,bdidx_avgdiff_date,popHR18_all,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
0,0,1.963124324324324,2.261794594594594,588.0,69.0,5320556.0,0.11734693877551021,43.58,42.02,0,57,8,36.14,0,1,0,0,29.0,9062.0,914.0,2.7352297592997807,2.9200000000000017,19.64,77.44,0.0,1,0,0,0,1,33.0,35.0
2,0,1.6011297297297276,1.6053675675675674,387.0,24.0,22256613.0,0.06201550387596899,57.5,39.98,0,60,7,37.35,0,1,0,0,65.0,10330.0,835.0,4.311377245508982,0.6899999999999977,56.85,42.46,0.0,0,1,0,0,0,31.0,42.0
3,0,1.8649351351351355,1.9506675675675669,534.0,32.0,8119388.0,0.0599250936329588,34.08,59.67,0,60,7,37.35,0,1,0,0,66.0,11614.0,646.0,4.643962848297214,1.0499999999999972,36.93,62.02,0.0,0,1,0,0,0,36.0,37.0
4,0,0.9872027027027012,1.3034216216216208,418.0,3.0,2872060.0,0.007177033492822967,50.3,39.52,0,58,6,37.35,0,1,0,0,34.0,6382.0,354.0,3.6723163841807906,1.1000000000000083,26.08,72.82,0.0,0,0,1,0,1,34.0,30.0
5,0,1.0397378378378384,1.137491891891894,253.0,4.0,1477545.0,0.015810276679841896,39.75,50.49,0,55,6,30.69,0,1,0,0,43.0,4215.0,159.0,4.402515723270441,0.8200000000000003,36.89,62.29,0.0,0,1,0,0,1,35.0,32.0
6,0,2.1305567567567567,2.2358621621621606,1051.0,32.0,13518281.0,0.030447193149381543,43.22,50.31,0,52,6,31.22,0,1,0,0,214.0,20836.0,1344.0,2.380952380952381,0.2700000000000031,37.15,62.58,0.0,0,1,0,0,1,29.0,33.0
7,0,1.1530513513513525,1.385648648648648,305.0,26.0,2909198.0,0.08524590163934426,43.51,47.98,0,56,6,43.47,0,0,1,0,48.0,8577.0,647.0,0.4636785162287481,0.1799999999999926,27.71,72.11,0.0,0,0,1,0,0,35.0,37.0
9,0,1.1090972972972968,1.2735081081081066,287.0,4.0,1093212.0,0.013937282229965157,13.57,71.21,0,53,6,31.0,0,0,1,0,290.0,3869.0,81.0,0.0,10.700000000000003,20.49,68.81,1.0,0,0,1,0,0,34.0,28.0
10,0,1.5732459459459456,1.6662729729729726,371.0,12.0,3697913.0,0.03234501347708895,40.14,53.56,0,56,6,31.0,0,0,1,0,49.0,5045.0,170.0,1.1764705882352942,2.3699999999999903,30.18,67.45,0.0,0,1,0,0,0,35.0,34.0
11,1,1.0363486486486484,1.1153486486486492,336.0,6.0,1936827.0,0.017857142857142856,30.65,61.88,0,55,5,60.3,0,0,1,0,80.0,7464.0,248.0,6.854838709677418,0.5,25.5,74.0,0.0,0,0,1,0,1,34.0,31.0
12,0,1.3222459459459452,1.6551027027027043,522.0,40.0,3456184.0,0.07662835249042145,19.88,77.49,0,57,5,35.3,1,0,0,0,398.0,11607.0,630.0,2.2222222222222223,0.4500000000000029,21.06,78.49,0.0,0,0,1,0,1,36.0,35.0
13,0,1.7223054054054057,1.9028675675675681,390.0,27.0,6293324.0,0.06923076923076923,45.17,48.07,0,58,5,36.14,0,1,0,0,72.0,6201.0,610.0,3.4426229508196724,1.8699999999999972,48.27,49.86,0.0,0,1,0,0,1,36.0,36.0
14,0,0.4906378378378378,0.8164864864864878,661.0,13.0,8096320.0,0.019667170953101363,47.4,44.67,0,57,4,30.69,0,1,0,0,113.0,9345.0,638.0,1.5673981191222568,0.24000000000000196,54.03,45.73,0.0,0,1,0,0,1,35.0,35.0
15,0,1.5685594594594583,1.5905081081081072,380.0,7.0,4045897.0,0.018421052631578946,45.97,53.03,0,56,4,31.22,0,1,0,0,79.0,9732.0,432.0,2.5462962962962963,1.1300000000000097,23.91,74.96,0.0,0,1,0,0,1,35.0,35.0
16,1,1.1964891891891891,1.1560702702702708,177.0,3.0,5135963.0,0.01694915254237288,54.36,42.45,0,56,4,60.3,0,0,1,0,62.0,4593.0,194.0,7.731958762886598,3.9600000000000013,48.32,47.72,0.0,0,1,0,0,1,33.0,45.0
17,0,1.4234702702702706,1.8646918918918929,556.0,8.0,4597731.0,0.014388489208633094,38.61,46.08,0,57,4,37.35,0,1,0,0,51.0,6589.0,500.0,6.6000000000000005,0.4750593824228986,22.565320665083103,76.959619952494,1.0,0,1,0,0,0,30.0,39.0
18,0,1.1176324324324312,1.5291567567567586,430.0,28.0,2565998.0,0.06511627906976744,22.91,54.46,0,57,4,37.35,0,1,0,0,34.0,6286.0,173.0,2.312138728323699,1.7699999999999958,20.73,77.5,0.0,0,1,0,0,0,34.0,36.0
19,0,1.5254459459459455,1.5990675675675663,191.0,1.0,1676260.0,0.005235602094240838,13.85,73.96,0,60,4,44.12,0,0,1,0,40.0,4687.0,349.0,4.584527220630372,9.689999999999998,19.41,70.9,1.0,0,1,0,0,1,35.0,36.0
20,0,1.9016540540540536,2.0326891891891896,148.0,9.0,2869916.0,0.060810810810810814,31.07,62.85,0,53,4,36.14,0,1,0,0,32.0,3398.0,528.0,3.0303030303030303,0.8900000000000006,30.45,68.66,0.0,0,1,0,0,0,33.0,29.0
21,0,2.7550702702702705,2.958578378378378,432.0,17.0,4387409.0,0.03935185185185185,45.47,50.45,0,57,4,55.64,0,0,1,0,61.0,7939.0,890.0,2.02247191011236,0.030000000000001137,57.83,42.14,0.0,0,1,0,0,1,33.0,35.0
22,0,1.5754189189189178,1.9081513513513508,534.0,39.0,6904667.0,0.07303370786516854,42.09,54.4,0,57,4,35.3,1,0,0,0,339.0,11028.0,1076.0,4.368029739776952,0.5300000000000011,37.21,62.26,0.0,1,0,0,0,1,32.0,36.0
23,0,1.9913432432432447,1.9964216216216224,468.0,17.0,7049152.0,0.03632478632478633,71.34,27.71,0,58,4,43.47,0,0,1,0,151.0,10820.0,727.0,4.264099037138927,0.3999999999999986,49.65,49.95,1.0,0,0,1,0,0,34.0,37.0
24,1,1.6638918918918906,2.137456756756757,431.0,72.0,3966520.0,0.16705336426914152,46.5,41.95,0,57,4,32.02,0,1,0,0,48.0,5528.0,994.0,4.728370221327968,0.730000000000004,51.33,47.94,0.0,0,1,0,0,1,35.0,38.0
25,0,1.7540729729729732,1.6571081081081085,206.0,15.0,10086748.0,0.07281553398058252,37.4,62.35,0,51,4,35.9,0,0,0,1,73.0,8522.0,270.0,4.814814814814816,0.3200000000000003,38.71,60.97,0.0,0,0,1,0,0,32.0,30.0
26,1,1.9360648648648648,1.8804027027027042,757.0,55.0,34107409.0,0.0726552179656539,40.15,53.66,0,58,4,37.35,0,1,0,0,115.0,23412.0,960.0,7.8125,0.9600000000000009,40.44,58.6,1.0,0,1,0,0,0,39.0,43.0
27,0,1.7551756756756776,1.7242243243243252,238.0,8.0,3825290.0,0.03361344537815126,43.17,51.27,0,57,4,43.47,0,0,1,0,63.0,5266.0,171.0,1.7543859649122806,0.7299999999999969,41.68,57.59,0.0,0,1,0,0,1,35.0,35.0
28,1,1.9023324324324304,2.1623567567567563,974.0,76.0,7665439.0,0.07802874743326489,43.71,49.75,0,57,4,32.02,0,1,0,0,85.0,14048.0,1800.0,11.333333333333332,0.8899999999999864,35.27,63.84,1.0,1,0,0,0,0,35.0,35.0
29,1,1.7116945945945932,1.4813216216216212,563.0,53.0,38896946.0,0.0941385435168739,38.71,59.95,0,58,4,30.69,0,1,0,0,308.0,27317.0,990.0,7.777777777777778,0.24000000000000196,41.05,58.71,1.0,0,0,1,0,0,37.0,36.0
30,1,1.9776486486486464,2.132529729729729,169.0,6.0,3854290.0,0.03550295857988166,44.54,54.06,0,56,4,32.02,0,1,0,0,31.0,3147.0,327.0,6.422018348623854,3.1899999999999977,45.92,50.89,0.0,0,1,0,0,1,34.0,37.0
31,0,1.2309459459459466,1.4548918918918927,250.0,0.0,1936177.0,0.0,47.77,37.48,0,56,4,37.35,0,1,0,0,30.0,3374.0,201.0,9.452736318407961,8.879999999999994,22.67,68.45,0.0,0,0,1,0,1,30.0,32.0
32,0,2.0272054054054056,1.8090945945945949,326.0,36.0,20965283.0,0.11042944785276074,32.59,66.84,0,53,3,31.0,0,0,1,0,127.0,13692.0,351.0,4.843304843304843,0.07000000000000027,42.07,57.86,0.0,0,1,0,0,0,30.0,30.0
33,0,1.3101432432432425,1.4760837837837837,270.0,3.0,2029988.0,0.011111111111111112,51.88,45.3,0,56,3,31.0,0,0,1,0,28.0,4149.0,107.0,0.9345794392523364,0.230000000000004,33.05,66.72,1.0,0,1,0,0,1,31.0,31.0
34,0,2.0236108108108115,1.9928108108108105,175.0,44.0,9651455.0,0.25142857142857145,62.12,27.8,0,57,3,37.35,0,1,0,0,25.0,3514.0,212.0,17.452830188679243,3.3999999999999986,35.53,61.07,0.0,0,0,1,0,0,33.0,35.0
35,0,1.55752972972973,1.8995189189189188,244.0,4.0,3141921.0,0.01639344262295082,40.79,42.78,0,56,3,37.35,0,1,0,0,28.0,3449.0,204.0,7.84313725490196,1.4699999999999989,16.84,81.69,0.0,0,1,0,0,1,34.0,34.0
36,0,0.3068081081081102,0.7022540540540536,923.0,23.0,3721144.0,0.024918743228602384,31.81,50.5,0,59,3,35.3,0,1,0,0,509.0,11505.0,549.0,1.275045537340619,0.35999999999999943,18.37,81.27,0.0,0,1,0,0,0,34.0,37.0
37,1,2.305664864864865,2.187313513513514,973.0,29.0,33962728.0,0.029804727646454265,38.88,58.95,0,58,3,31.22,0,1,0,0,235.0,34487.0,2638.0,3.3358605003790758,0.20000000000000284,30.55,69.25,0.0,0,1,0,0,1,35.0,43.0
38,1,2.528045945945945,2.5101270270270275,778.0,48.0,8667928.0,0.061696658097686374,50.01,48.77,0,54,3,31.22,0,1,0,0,154.0,19233.0,2417.0,3.9718659495242035,1.3300000000000125,25.07,73.6,1.0,0,0,1,0,1,35.0,30.0
39,0,1.4256540540540534,1.4205378378378368,318.0,12.0,8866388.0,0.03773584905660377,38.54,60.0,0,55,3,31.47,0,0,1,0,143.0,9464.0,232.0,6.896551724137932,0.3299999999999983,50.68,48.99,1.0,0,0,1,0,0,34.0,30.0
40,0,1.9298891891891883,1.9411702702702684,392.0,6.0,813938.0,0.015306122448979591,28.09,69.47,0,57,3,31.47,0,0,1,0,104.0,7201.0,451.0,3.104212860310421,0.21000000000000085,42.8,56.99,0.0,0,1,0,0,1,35.0,37.0
41,1,2.065494594594596,1.9215135135135155,224.0,11.0,24190700.0,0.049107142857142856,40.7,58.17,0,60,3,35.79,0,0,1,0,84.0,8588.0,401.0,4.7381546134663335,0.7299999999999969,47.71,51.56,0.0,1,0,0,0,1,36.0,36.0
42,0,2.151435135135136,2.3725135135135123,528.0,47.0,1765596.0,0.08901515151515152,25.77,28.15,0,56,3,31.47,0,0,1,0,64.0,10613.0,314.0,2.2292993630573252,4.319999999999993,22.59,73.09,0.0,0,1,0,0,1,27.0,33.0
43,0,2.1134000000000004,2.547656756756754,656.0,41.0,6442018.0,0.0625,38.42,51.42,0,56,3,36.14,0,1,0,0,81.0,9221.0,1272.0,2.279874213836478,35.63720499999999,29.188078000000004,35.174717,0.0,0,1,0,0,1,30.0,37.0
44,0,2.6271162162162156,2.8841837837837856,1200.0,156.0,7557584.0,0.13,33.79,59.51,0,58,3,55.64,0,0,1,0,108.0,17993.0,1969.0,1.8791264601320468,0.5399999999999991,41.35,58.11,1.0,0,1,0,0,1,35.0,37.0
45,0,1.385694594594593,1.6093297297297289,170.0,5.0,2796735.0,0.029411764705882353,15.71,77.29,0,55,3,35.3,1,0,0,0,30.0,3207.0,213.0,2.3474178403755865,0.4200000000000017,22.07,77.51,0.0,1,0,0,0,1,35.0,35.0
46,0,1.305994594594595,1.602335135135136,479.0,60.0,6868076.0,0.12526096033402923,47.4,44.13,0,54,3,35.3,1,0,0,0,82.0,10996.0,1079.0,2.9657089898053752,0.28999999999999915,40.82,58.89,0.0,0,1,0,0,1,34.0,35.0
47,1,1.7747810810810818,1.629529729729732,44.0,2.0,4100777.0,0.045454545454545456,57.7,41.07,0,56,3,35.79,0,0,1,0,27.0,1536.0,144.0,1.3888888888888888,0.17999999999999972,49.71,50.11,0.0,0,1,0,0,1,35.0,36.0
48,1,2.0450540540540545,1.8112837837837843,161.0,11.0,7467000.0,0.06832298136645963,33.57,66.22,0,58,3,35.79,0,0,1,0,90.0,5652.0,399.0,4.511278195488722,0.7999999999999972,45.53,53.67,0.0,0,1,0,0,0,28.0,40.0
49,0,2.055137837837837,2.0861891891891893,101.0,5.0,1415313.0,0.04950495049504951,50.89,43.03,0,50,3,31.47,0,0,1,0,49.0,3067.0,123.0,4.065040650406504,29.749999999999996,34.4,35.85,0.0,0,1,0,0,1,21.0,29.0
51,0,0.3275162162162157,0.7166972972972959,303.0,6.0,3440379.0,0.019801980198019802,51.34,39.84,0,56,4,66.1,0,1,0,0,73.0,5886.0,465.0,1.2903225806451613,0.2599999999999909,28.73,71.01,0.0,0,0,1,0,1,34.0,33.0
52,0,1.244237837837836,1.2826297297297296,352.0,3.0,7191902.0,0.008522727272727272,51.52,42.25,0,56,4,66.1,0,1,0,0,97.0,7537.0,625.0,2.08,0.9100000000000036,41.54,57.55,1.0,0,0,1,0,0,33.0,35.0
53,0,1.1394189189189192,1.6105216216216207,672.0,42.0,4890622.0,0.0625,32.6,52.14,0,56,4,66.1,0,1,0,0,398.0,6937.0,560.0,0.8928571428571428,0.8400000000000034,45.47,53.69,1.0,0,0,1,1,0,36.0,35.0
54,0,2.372127027027028,2.480483783783784,534.0,43.0,6366549.0,0.08052434456928839,28.65,67.36,0,56,4,31.47,0,0,1,0,116.0,10377.0,367.0,5.177111716621254,12.36,24.05,63.59,1.0,0,0,1,0,1,26.0,35.0
55,1,1.868940540540541,1.3602864864864874,420.0,84.0,93985162.0,0.2,57.72,40.86,0,55,4,182.12,1,0,0,0,110.0,18134.0,6212.0,18.399871216999355,0.01999999999999957,70.75,29.23,0.0,0,0,1,0,0,33.0,37.0
56,0,0.9085540540540542,1.0456108108108113,263.0,9.0,2604239.0,0.034220532319391636,35.96,44.55,0,57,3,30.69,0,1,0,0,50.0,4360.0,258.0,1.937984496124031,1.3300000000000054,46.51,52.16,0.0,0,1,0,0,1,34.0,37.0
59,1,2.1455,2.2584459459459465,200.0,33.0,6083233.0,0.165,49.6,47.33,0,51,3,32.02,0,1,0,0,32.0,4433.0,578.0,3.97923875432526,0.30000000000000426,52.05,47.65,0.0,0,0,1,0,0,25.0,31.0
60,0,1.7188216216216214,2.1791108108108106,531.0,83.0,5138061.0,0.15630885122410546,43.69,53.59,0,55,3,36.14,0,1,0,0,69.0,8638.0,1716.0,2.797202797202797,3.910000000000004,40.22,55.87,1.0,1,0,0,0,0,21.0,32.0
61,0,1.8300729729729728,2.4517162162162167,651.0,108.0,4212362.0,0.16589861751152074,42.41,41.89,0,54,3,36.14,0,1,0,0,62.0,6397.0,1032.0,0.6782945736434108,0.07000000000000739,31.33,68.6,1.0,0,1,0,0,1,31.0,35.0
62,0,1.9820540540540537,2.0605945945945936,403.0,80.0,11740538.0,0.19851116625310175,45.01,52.97,0,57,3,35.3,1,0,0,0,190.0,10620.0,1658.0,2.714113389626055,0.3500000000000014,54.9,44.75,1.0,0,0,1,0,1,28.0,36.0
63,0,1.5919837837837822,1.675818918918917,288.0,36.0,12342154.0,0.125,54.41,44.1,0,55,3,35.3,1,0,0,0,63.0,7526.0,970.0,3.608247422680412,0.009999999999998009,58.54,41.45,0.0,0,1,0,0,1,27.0,31.0
64,0,1.0143432432432418,1.504978378378377,826.0,102.0,3417031.0,0.1234866828087167,46.34,50.17,0,58,3,35.3,1,0,0,0,293.0,12799.0,1256.0,2.070063694267516,0.9200000000000016,37.43,61.65,0.0,0,1,0,0,0,33.0,32.0
65,1,1.9781783783783795,2.4754297297297305,783.0,123.0,6203743.0,0.15708812260536398,41.95,53.24,0,57,3,32.02,0,1,0,0,147.0,11101.0,1303.0,2.609363008442057,1.2700000000000031,42.54,56.19,0.0,0,1,0,0,1,36.0,37.0
66,0,2.777089189189188,2.8732189189189183,624.0,53.0,6166974.0,0.08493589743589744,45.1,53.72,0,57,3,55.64,0,0,1,0,100.0,13263.0,944.0,1.6949152542372878,0.12000000000000455,59.76,40.12,1.0,1,0,0,0,1,36.0,37.0
67,0,2.839848648648649,2.8240675675675666,371.0,32.0,5162899.0,0.0862533692722372,42.5,56.27,0,57,3,55.64,0,0,1,0,92.0,8994.0,1289.0,2.094647013188518,0.07000000000000027,60.55,39.38,0.0,0,1,0,0,0,35.0,35.0
68,0,1.1699891891891898,1.5236513513513517,268.0,11.0,2936789.0,0.041044776119402986,34.75,42.91,0,54,3,37.35,0,1,0,0,21.0,3772.0,227.0,4.405286343612334,7.219999999999999,24.93,67.85,1.0,0,1,0,0,1,24.0,29.0
69,1,2.637013513513511,3.0364270270270266,911.0,274.0,5867475.0,0.300768386388584,44.66,43.08,0,58,3,55.64,0,0,1,0,270.0,9940.0,1110.0,1.351351351351351,0.1700000000000017,43.66,56.17,0.0,0,1,0,0,1,29.0,35.0
70,0,1.4906864864864864,1.2748810810810816,396.0,23.0,14192763.0,0.05808080808080808,49.77,46.83,0,57,3,182.12,1,0,0,0,44.0,9859.0,2112.0,32.95454545454545,0.10000000000000142,57.62,42.28,0.0,0,1,0,0,1,34.0,38.0
71,0,0.3633405405405403,0.3405405405405406,79.0,0.0,731016.0,0.0,40.63,51.83,0,55,3,35.26,0,0,0,0,22.0,1383.0,15.0,0.0,0.769999999999996,7.93,91.3,0.0,0,1,0,0,0,30.0,39.0
72,0,0.8548891891891892,0.6981729729729733,19.0,0.0,652800.0,0.0,38.56,59.11,0,58,3,35.26,0,0,0,0,17.0,431.0,3.0,0.0,3.3999999999999915,6.67,89.93,0.0,0,1,0,0,0,32.0,36.0
73,0,2.2660945945945934,2.0440027027027026,474.0,30.0,8648469.0,0.06329113924050633,38.63,59.19,0,54,3,31.22,0,1,0,0,153.0,11877.0,1180.0,12.627118644067798,0.5500000000000043,45.01,54.44,0.0,0,1,0,0,1,35.0,34.0
74,1,1.1179891891891889,1.3606945945945927,555.0,12.0,7516818.0,0.021621621621621623,51.06,42.6,0,57,3,66.1,0,1,0,0,172.0,9022.0,692.0,1.300578034682081,0.5600000000000023,48.21,51.23,0.0,0,1,0,0,1,37.0,24.0
75,0,1.1803621621621607,1.6049621621621624,733.0,39.0,6692215.0,0.05320600272851296,43.99,42.96,0,57,3,66.1,0,1,0,0,112.0,13077.0,722.0,1.662049861495845,0.19000000000000486,39.98,59.83,0.0,1,0,0,0,1,36.0,36.0
76,1,1.279567567567566,1.5587324324324316,415.0,22.0,4772911.0,0.05301204819277108,44.3,41.8,0,55,3,66.1,0,1,0,0,72.0,5507.0,317.0,4.416403785488959,0.28000000000000114,50.86,48.86,0.0,0,1,0,0,0,33.0,37.0
77,0,1.8860351351351368,1.939991891891892,228.0,7.0,4316182.0,0.03070175438596491,45.02,49.12,0,56,3,55.64,0,0,1,0,51.0,5297.0,501.0,2.7944111776447107,0.2999999999999972,50.95,48.75,0.0,0,0,1,0,1,34.0,32.0
78,0,2.353191891891892,2.7691189189189203,987.0,91.0,4793000.0,0.09219858156028368,43.97,42.02,0,54,3,55.64,0,0,1,0,79.0,14756.0,1350.0,1.925925925925926,0.10999999999999943,46.88,53.01,1.0,0,1,0,0,1,35.0,27.0
79,0,0.6792486486486471,1.186170270270269,440.0,10.0,2077400.0,0.022727272727272728,39.59,48.93,0,50,3,35.3,0,1,0,0,99.0,6432.0,550.0,1.0909090909090908,0.4200000000000017,14.0,85.58,0.0,0,1,0,0,1,29.0,31.0
80,1,2.196202702702704,2.3629648648648653,217.0,27.0,6229180.0,0.12442396313364056,58.86,37.7,0,54,3,36.14,0,1,0,0,69.0,4524.0,738.0,2.4390243902439024,0.0,63.08,36.92,0.0,0,1,0,0,1,33.0,36.0
81,0,1.5804081081081094,1.6824864864864877,319.0,20.0,5263855.0,0.06269592476489028,48.34,38.53,0,55,3,35.3,0,1,0,0,51.0,5382.0,1089.0,4.040404040404041,2.7600000000000047,37.19,60.05,1.0,0,0,1,0,0,35.0,33.0
82,0,1.2593324324324304,1.1964972972972974,232.0,1.0,8078204.0,0.004310344827586207,42.0,55.25,0,59,3,60.3,0,0,1,0,126.0,5952.0,576.0,16.319444444444443,0.35999999999999943,34.53,65.11,1.0,1,0,0,0,1,37.0,36.0
83,1,3.2769594594594595,3.394224324324324,122.0,130.0,7565744.0,1.0655737704918034,52.82,42.54,0,52,3,32.02,0,1,0,0,14.0,4201.0,369.0,4.607046070460704,0.2600000000000051,62.05,37.69,0.0,0,1,0,0,0,31.0,30.0
84,1,1.6348054054054069,1.9554729729729745,536.0,22.0,2531933.0,0.041044776119402986,44.99,48.27,0,56,3,32.02,0,1,0,0,57.0,8028.0,1222.0,7.201309328968903,2.009999999999998,48.85,49.14,1.0,0,1,0,0,0,36.0,30.0
85,0,2.456524324324324,2.498008108108108,737.0,31.0,16555755.0,0.04206241519674356,37.74,61.18,0,56,3,55.64,0,0,1,0,142.0,17586.0,1975.0,2.3797468354430378,0.13000000000000256,48.72,51.15,1.0,0,0,1,0,1,36.0,39.0
86,0,0.5038864864864854,0.7475108108108106,239.0,1.0,1065841.0,0.0041841004184100415,34.02,50.89,0,55,3,30.69,0,1,0,0,53.0,3315.0,173.0,1.1560693641618496,6.700000000000002,28.84,64.46,0.0,0,1,0,0,1,34.0,33.0
87,0,1.2769270270270272,1.0667054054054066,54.0,1.0,2878800.0,0.018518518518518517,33.09,65.28,0,53,3,35.26,0,0,0,0,28.0,2552.0,76.0,3.947368421052632,32.49999999999999,16.62,50.88,0.0,0,1,0,0,1,28.0,32.0
89,0,1.2390432432432452,1.34672162162162,154.0,7.0,2398237.0,0.045454545454545456,37.58,47.5,0,58,2,66.1,0,1,0,0,44.0,3941.0,314.0,2.5477707006369434,0.6499999999999915,29.84,69.51,0.0,0,1,0,0,1,35.0,39.0
90,0,2.4526324324324325,2.6939621621621637,381.0,160.0,8445969.0,0.4199475065616798,49.47,47.49,0,58,2,36.14,0,1,0,0,81.0,6297.0,1115.0,3.5874439461883414,0.14999999999999858,42.51,57.34,1.0,1,0,0,0,1,34.0,37.0
91,0,1.6621918918918919,1.7101216216216226,229.0,38.0,10425427.0,0.16593886462882096,53.91,44.88,0,55,2,36.14,0,1,0,0,62.0,4756.0,1054.0,5.597722960151803,0.3200000000000003,52.49,47.19,0.0,1,0,0,0,1,28.0,34.0
92,0,2.4164351351351363,2.57561891891892,559.0,26.0,6887402.0,0.046511627906976744,34.99,55.18,0,53,2,55.64,0,0,1,0,105.0,11280.0,1347.0,2.3756495916852263,0.12999999999999545,54.17,45.7,0.0,0,1,0,1,1,32.0,29.0
93,0,2.438097297297297,2.5839135135135125,567.0,58.0,5649429.0,0.10229276895943562,51.9,47.07,0,57,2,55.64,0,0,1,0,87.0,11355.0,885.0,2.485875706214689,0.0799999999999983,54.64,45.28,0.0,0,1,0,0,1,29.0,36.0
94,0,1.7090945945945943,1.779010810810811,96.0,15.0,3229700.0,0.15625,13.1,48.6,0,53,2,32.74,0,0,1,0,22.0,1680.0,18.0,16.666666666666664,43.762576,11.730382,44.507042,0.0,0,0,1,0,0,33.0,29.0
95,0,1.0307972972972983,1.2668972972972992,342.0,10.0,4673400.0,0.029239766081871343,46.61,52.04,0,55,2,35.3,0,1,0,0,111.0,5106.0,452.0,1.106194690265487,0.2700000000000031,46.0,53.73,0.0,0,1,0,0,1,36.0,36.0
96,0,2.6890783783783783,2.6515324324324325,221.0,10.0,2681085.0,0.04524886877828054,30.34,69.4,0,55,2,31.47,0,0,1,0,83.0,5730.0,259.0,5.791505791505792,0.37999999999999545,61.67,37.95,1.0,0,0,1,0,0,22.0,37.0
