cityname,gdp2018,gdpPercap2018,gdpGrowth2018
北京市,280149400,128994,6.7
天津市,185491900,119238,3.6
石家庄市,33962728,69926,8.1
唐山市,32053543,89233,6.7
秦皇岛市,10146857,61170,7.4
邯郸市,13518281,37796,6.58
邢台市,3706907,38163,7.25
保定市,13573495,44917,2
张家口市,7093733,41038,6.5
承德市,4045897,60575,7.22
沧州市,8667928,120805,7.68
廊坊市,8648469,91067,11.75
衡水市,5534965,57615,7.2
太原市,31483179,88340,7.7
大同市,8866388,49181,5
阳泉市,4440648,57321,7.74
长治市,3909537,48705,2.5
晋城市,2681085,54209,6.5
朔州市,4583205,127482,
晋中市,2698240,40850,5.1
运城市,2461333,34987,7
忻州市,1383021,24543,6.57
临汾市,2829721,28904,6.1
吕梁市,813938,24359,6.4
呼和浩特市,21851700,99720,5.16
包头市,24190700,155090,6
乌海市,4100777,73268,5.3
赤峰市,6113256,43746,3.1
通辽市,4201300,40347,4.4
鄂尔多斯市,7467000,111798,5.6
呼伦贝尔市,3047356,58996,0.1
巴彦淖尔市,2421916,43728,3.6
乌兰察布市,1534132,37491,5.9
沈阳市,51481026,74567,3
大连市,53917639,113675,7.31
鞍山市,8640987,,6.61
抚顺市,8137748,56418,4.05
本溪市,5590042,50063,1.7
丹东市,2298381,29409,4
锦州市,5623240,58133,10.91
营口市,8078204,73693,4.68
阜新市,1849479,23399,-0.9
辽阳市,5135963,,6.22
盘锦市,9736271,83252,5.1
铁岭市,1295727,30000,1.4
朝阳市,1936827,29816,3.45
葫芦岛市,3600729,38313,5.5
长春市,51428765,,8
吉林市,13344871,74221,3.2
四平市,1613303,27816,4.5
辽源市,4251037,92788,2.23
通化市,1890231,43110,-15.3
白山市,3546055,65256,-1.33
松原市,3913200,59368,-7.19
白城市,1676260,34181,4
哈尔滨市,47127585,85567,7.6
齐齐哈尔市,6366549,48096,6.4
鸡西市,1654705,20425,6.1
鹤岗市,1415313,22946,9.9
双鸭山市,1213525,24783,2.4
大庆市,22907157,167420,2.4
伊春市,1650320,22214,6.99
佳木斯市,4561525,59023,6
七台河市,1757953,36370,6.3
牡丹江市,3589212,37154,6.8
黑河市,349527,34607,3.7
绥化市,1765596,21750,6.4
上海市,306329900,126634,6.9
南京市,117151000,141103,8.1
无锡市,54652800,150120,7.7
徐州市,33978846,103339,5.1
常州市,57722100,146104,8.2
苏州市,81945100,148427,7.3
南通市,28626300,121783,7.8
连云港市,14478400,69127,7.5
淮安市,22359500,72908,7.25
盐城市,20373200,85756,6
扬州市,32484000,133566,7.6
镇江市,18786919,152461,7
泰州市,19948100,122501,8.6
宿迁市,9464340,59102,7.7
杭州市,116214609,148794,8.21
宁波市,62826874,150990,6.8
温州市,21810810,72524,7.41
嘉兴市,11254564,89889,8
湖州市,10857320,81370,8.87
绍兴市,29516779,107555,7.04
金华市,7413927,65000,6.28
衢州市,6022312,72664,10.1
舟山市,9165154,103796,8.7
台州市,16240361,83050,8.94
丽水市,3261953,68342,5.22
合肥市,48124819,125778,8.99
芜湖市,19018514,114672,9.47
蚌埠市,8445969,46538,9.4
淮南市,6293324,34399,6.4
马鞍山市,10425427,108939,8.9
淮北市,6229180,59210,6.89
铜陵市,8813428,,8.44
安庆市,5138061,62204,8.6
黄山市,2869916,59970,8.1
滁州市,4329164,73807,11
阜阳市,5431259,23855,8
宿州市,6442018,37389,9.16
六安市,5320556,26940,8.6
亳州市,4212362,25262,9.34
池州市,3508409,52255,5.71
宣城市,3238217,37215,8
福州市,43005530,111092,8.9
厦门市,43517181,109753,7.6
莆田市,16647596,81847,8.42
三明市,4532584,117668,8.53
泉州市,17587544,113012,8.42
漳州市,8148209,103667,8.7
南平市,5263855,66739,6.4
龙岩市,10326594,94523,7.9
宁德市,3906094,87385,10.53
南昌市,36408753,100828,9
景德镇市,3854290,77302,8.7
萍乡市,6083233,63725,9.1
九江市,10076908,98917,9.14
新余市,7565744,87546,8.4
鹰潭市,2307944,104574,7.9
赣州市,7665439,41863,9.8
吉安市,2531933,45796,8.87
宜春市,2850981,26574,9.5
抚州市,3966520,35359,8.7
上饶市,6203743,51582,9.4
济南市,63890455,110114,7.89
青岛市,84991300,136667,9.3
淄博市,36697027,113450,8.4
枣庄市,11571249,51533,6.95
东营市,26365857,200022,6.1
烟台市,32506652,153061,7.6
潍坊市,17510000,79721,9.4
济宁市,17934002,103366,5.65
泰安市,11032000,59207,7.35
威海市,17730689,114746,8.2
日照市,14150500,99323,8.8
莱芜市,8949700,65046,8.1
临沂市,18035241,66256,8.23
德州市,8957000,68314,7.19
聊城市,5731900,43501,8
滨州市,8190902,76014,5.45
菏泽市,7708513,38143,8.2
郑州市,53849953,94477,6.7
开封市,6887402,42413,7
洛阳市,16555755,75677,9.2
平顶山市,5649429,52117,10.3
安阳市,6166974,48635,5.4
鹤壁市,3880451,58502,6.7
新乡市,8005138,69375,8.03
焦作市,5162899,50079,6.06
濮阳市,4387409,60258,5.8
许昌市,7495540,57640,8.8
漯河市,7027980,51980,8.2
三门峡市,4316182,64155,10.2
南阳市,7557584,40189,5.6
商丘市,4793000,26550,6.3
信阳市,5867475,41472,7
周口市,2360046,33019,6.6
驻马店市,3668609,37230,8.2
武汉市,134103400,123831,8
黄石市,7060400,79778,9
十堰市,10794677,77898,10.1
宜昌市,16525000,112313,4.1
襄阳市,20508774,88032,6.58
鄂州市,9059200,84452,8.6
荆门市,5659000,82014,7.7
孝感市,3164822,34067,7.5
荆州市,6439500,51923,8.14
黄冈市,2235000,56950,7.3
咸宁市,2830000,53676,8.7
随州市,4346800,68664,7.54
长沙市,63903360,152441,8.3
株洲市,11740538,92387,8
湘潭市,12342154,114821,8.5
衡阳市,9082292,75572,8.3
邵阳市,3417031,44464,7.7
岳阳市,13125986,99537,6.6
常德市,16105239,102869,7.8
张家界市,2796735,53109,8.7
益阳市,6868076,53126,8
郴州市,6904667,79721,7.7
永州市,4708548,42534,8.8
怀化市,3456184,56464,8
娄底市,4601745,74886,10.4
广州市,215031516,150678,7
韶关市,6383211,61271,7.8
深圳市,224900586,184068,8.8
珠海市,26751795,155502,10.8
汕头市,23315759,42152,8.6
佛山市,93985162,124324,8.25
江门市,14192763,75461,7.9
湛江市,12740693,75552,7.7
茂名市,13968211,55130,7.14
肇庆市,11166091,72007,5.2
惠州市,24079290,98163,6.9
梅州市,4191338,43445,5.87
汕尾市,2241362,42515,-0.6
河源市,3790678,77614,4.8
阳江市,7094626,60119,6.5
清远市,7754930,49267,4.37
东莞市,82785900,,
中山市,36327000,,
潮州市,8045515,45332,7
揭阳市,9403706,47684,4.77
云浮市,2048113,63067,3.6
南宁市,34107409,79292,8.2
柳州市,22256613,99703,6.7
桂林市,8119388,51963,-1.3
梧州市,6247607,76837,2.5
北海市,9651455,133523,10.45
防城港市,5657685,100438,7.3
钦州市,5918520,46302,9.62
贵港市,4597731,28910,9.44
玉林市,4928736,43786,8.69
百色市,2872060,72054,11.1
贺州市,3141921,29728,5.41
河池市,2565998,27606,9.19
来宾市,2936789,30398,6.6
崇左市,1936177,56747,10.4
海口市,13905779,61589,7.5
三亚市,5298048,69780,7.6
三沙市,,,
儋州市,3229700,,8.2
成都市,110100047,103757,8.7
自贡市,8484280,56636,8.13
攀枝花市,8425681,100209,7.4
泸州市,8407557,57669,9.7
德阳市,6709721,68888,8.6
绵阳市,11480260,62909,9.6
广元市,3440379,31878,8.8
遂宁市,4703359,35659,8.7
内江市,4772911,36639,7.57
乐山市,7191902,58714,8.5
南充市,6692215,6421762,8.82
眉山市,5546799,47875,5.6
宜宾市,7516818,61785,9.15
广安市,3485615,39213,8.1
达州市,4890622,28615,7.9
雅安市,2398237,37833,8.6
巴中市,2169990,18292,8.5
资阳市,4848100,53293,8.3
贵阳市,26760750,79295,11.8
六盘水市,4673400,77055,11
遵义市,11193200,52940,13.2
安顺市,4488895,40817,13.5
毕节市,3721144,32162,12.2
铜仁市,2077400,47300,12.43
昆明市,38896946,90074,13
曲靖市,8096320,66152,10.1
玉溪市,7255575,90774,6.23
保山市,2604239,26773,11.5
昭通市,2558688,30544,9.2
丽江市,1242906,56780,8.1
普洱市,1477545,46891,11.2
临沧市,1065841,31627,10
拉萨市,2878800,,
日喀则市,731016,60660,10.7
昌都市,563394,36715,10
林芝市,652800,104733,10.1
山南市,493693,67788,10.2
那曲市,505456,46269,11.1
西安市,71920980,84205,7.6
铜川市,3105440,41533,7.5
宝鸡市,10803650,73939,8.1
咸阳市,7049152,123996,7.95
渭南市,3705194,41208,8.32
延安市,3825290,46935,8.5
汉中市,4798198,42361,9.96
榆林市,6984704,106175,8.5
安康市,2909198,33076,9
商洛市,1478000,27384,9.5
兰州市,20965283,78412,5.92
嘉峪关市,2996200,,
金昌市,1564325,66909,1.3
白银市,2679410,53863,1.3
天水市,3697913,30165,5.4
武威市,2722793,26828,-2.2
张掖市,1646975,31881,4.71
平凉市,1286773,24334,4
酒泉市,1687479,40257,2.5
庆阳市,2029988,54416,6
定西市,767389,17890,4.3
陇南市,1093212,19243,5.9
西宁市,10086748,77662,10.8
海东市,1653467,98134,7.5
银川市,11039244,77927,7.5
石嘴山市,3771905,73860,7
吴忠市,1895152,45931,7.8
固原市,1176599,27929,8
中卫市,1716928,42041,7.9
乌鲁木齐市,27075290,79892,8.11
克拉玛依市,7445034,145798,7.5
吐鲁番市,854603,29925,8.27
哈密市,3591681,73077,7.3