prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,popHR18_all,Log_popHR18_all
安徽省,341300,宿州市,2016-12,1963-11,史翔,56,False,,,3,0.0,0.0,2.0,3.0,3.0,9.0,10.0,10.0,12.0,14.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,31.0,33.0,36.0,38.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,0,宿州市,6442018.0,37389.0,9.16,False,656.0,6.486160788944089
河南省,411300,南阳市,2016-12,1961-9,张文深,58,False,,,3,0.0,8.0,15.0,19.0,26.0,31.0,51.0,61.0,66.0,62.0,84.0,99.0,107.0,111.0,118.0,128.0,133.0,134.0,136.0,138.0,145.0,146.0,150.0,151.0,154.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,156.0,156.0,156.0,0,南阳市,7557584.0,40189.0,5.6,False,1200.0,7.090076835776092
湖南省,430800,张家界市,2016-12,1964-9,虢正贵,55,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,张家界市,2796735.0,53109.0,8.7,False,170.0,5.135798437050262
湖南省,430900,益阳市,2016-12,1966-1,瞿海,54,False,,,3,0.0,4.0,4.0,7.0,10.0,14.0,17.0,20.0,24.0,27.0,30.0,35.0,40.0,41.0,43.0,44.0,46.0,53.0,54.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,0,益阳市,6868076.0,53126.0,8,False,479.0,6.171700597410915
新疆维吾尔自治区,653100,喀什地区,2016-12,1965-3,李宁平,54,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
内蒙古自治区,150300,乌海市,2016-12,1963-4,史万钧,56,True,-11.0,2020-02-13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,乌海市,4100777.0,73268.0,5.3,False,44.0,3.784189633918261
内蒙古自治区,150600,鄂尔多斯市,2016-12,1962-1,牛俊雁,58,True,-19.0,2020-02-13,3,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0,鄂尔多斯市,7467000.0,111798.0,5.6,False,161.0,5.081404364984463
黑龙江省,230400,鹤岗市,2016-12,1970-1,张恩亮,50,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,鹤岗市,1415313.0,22946.0,9.9,False,101.0,4.61512051684126
湖北省,420300,十堰市,2016-12,1963-10,张维国,56,True,0.0,2020-01-24,3,1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,438.0,467.0,481.0,505.0,536.0,562.0,586.0,597.0,602.0,612.0,626.0,638.0,641.0,654.0,659.0,667.0,669.0,671.0,671.0,671.0,671.0,671.0,0,十堰市,10794677.0,77898.0,10.1,False,346.0,5.846438775057725
四川省,510800,广元市,2016-2,1963-10,王菲,56,False,,,4,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0,广元市,3440379.0,31878.0,8.8,False,303.0,5.713732805509369
四川省,511100,乐山市,2016-2,1963-6,彭琳,56,False,,,4,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,乐山市,7191902.0,58714.0,8.5,False,352.0,5.863631175598097
四川省,511700,达州市,2016-2,1963-8,包惠,56,False,,,4,1.0,1.0,1.0,3.0,3.0,4.0,6.0,8.0,9.0,9.0,11.0,13.0,17.0,20.0,23.0,25.0,25.0,28.0,30.0,33.0,36.0,36.0,36.0,36.0,38.0,39.0,40.0,40.0,41.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,0,达州市,4890622.0,28615.0,7.9,False,672.0,6.51025834052315
黑龙江省,230200,齐齐哈尔市,2016-2,1963-4,孙珅,56,False,,,4,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,20.0,26.0,27.0,27.0,27.0,30.0,32.0,33.0,33.0,36.0,36.0,38.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,0,齐齐哈尔市,6366549.0,48096.0,6.4,False,534.0,6.280395838960195
广东省,440600,佛山市,2016-2,1964-10,鲁毅,55,True,-15.0,2020-02-08,4,7.0,9.0,10.0,14.0,18.0,21.0,25.0,33.0,39.0,43.0,45.0,49.0,50.0,57.0,59.0,64.0,67.0,70.0,70.0,78.0,81.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,0,佛山市,93985162.0,124324.0,8.25,False,420.0,6.040254711277414
云南省,530500,保山市,2016-3,1962-5,赵德光,57,False,,,3,0.0,0.0,2.0,3.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,保山市,2604239.0,26773.0,11.5,False,263.0,5.572154032177765
内蒙古自治区,152200,兴安盟,2016-3,1967-12,张恩惠,52,True,-17.0,2020-02-13,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,True,,
内蒙古自治区,152500,锡林郭勒盟,2016-3,1962-5,罗虎在,57,True,-18.0,2020-02-13,3,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,,,,,True,,
江西省,360300,萍乡市,2016-3,1968-8,李小豹,51,True,-13.0,2020-02-06,3,1.0,1.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,15.0,18.0,20.0,22.0,23.0,24.0,24.0,24.0,25.0,26.0,29.0,29.0,31.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0,萍乡市,6083233.0,63725.0,9.1,False,200.0,5.298317366548036
安徽省,340800,安庆市,2016-4,1964-12,魏晓明,55,False,,,3,1.0,4.0,5.0,8.0,8.0,14.0,18.0,18.0,31.0,43.0,47.0,55.0,56.0,60.0,66.0,71.0,75.0,78.0,80.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0,安庆市,5138061.0,62204.0,8.6,False,531.0,6.274762021241939
安徽省,341600,亳州市,2016-4,1965-3,汪一光,54,False,,,3,1.0,4.0,6.0,6.0,8.0,15.0,20.0,20.0,25.0,30.0,39.0,48.0,58.0,66.0,72.0,81.0,87.0,92.0,92.0,97.0,100.0,106.0,107.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,0,亳州市,4212362.0,25262.0,9.34,False,651.0,6.478509642208569
湖南省,430200,株洲市,2016-4,1962-9,毛腾飞,57,False,,,3,1.0,1.0,3.0,5.0,7.0,13.0,18.0,19.0,22.0,25.0,26.0,34.0,38.0,41.0,46.0,48.0,58.0,61.0,68.0,71.0,75.0,77.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0,株洲市,11740538.0,92387.0,8,False,403.0,5.998936561946683
湖南省,430300,湘潭市,2016-4,1964-5,曹炯芳,55,False,,,3,1.0,2.0,3.0,4.0,6.0,8.0,9.0,10.0,13.0,16.0,19.0,21.0,23.0,24.0,25.0,28.0,28.0,31.0,32.0,32.0,32.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0,湘潭市,12342154.0,114821.0,8.5,False,288.0,5.662960480135946
湖南省,430500,邵阳市,2016-4,1961-10,龚文密,58,False,,,3,0.0,2.0,2.0,8.0,11.0,19.0,29.0,36.0,41.0,49.0,51.0,55.0,68.0,74.0,83.0,86.0,87.0,89.0,91.0,94.0,99.0,100.0,100.0,101.0,101.0,101.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0,邵阳市,3417031.0,44464.0,7.7,False,826.0,6.716594773520978
江西省,361100,上饶市,2016-4,1962-11,马承祖,57,True,-12.0,2020-02-06,3,0.0,2.0,6.0,6.0,7.0,9.0,11.0,12.0,16.0,19.0,32.0,50.0,69.0,78.0,86.0,92.0,98.0,103.0,111.0,116.0,119.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,0,上饶市,6203743.0,51582.0,9.4,False,783.0,6.663132695990803
河南省,410500,安阳市,2016-5,1962-3,李公乐,57,False,,,3,0.0,0.0,3.0,7.0,11.0,14.0,16.0,20.0,24.0,24.0,29.0,33.0,35.0,37.0,40.0,43.0,44.0,45.0,46.0,49.0,50.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,0,安阳市,6166974.0,48635.0,5.4,False,624.0,6.436150368369428
河南省,410800,焦作市,2016-5,1962-11,王小平,57,False,,,3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,7.0,8.0,12.0,15.0,17.0,18.0,20.0,24.0,25.0,28.0,28.0,29.0,29.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0,焦作市,5162899.0,50079.0,6.06,False,371.0,5.916202062607435
广西壮族自治区,451300,来宾市,2016-5,1965-8,农生文,54,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0,来宾市,2936789.0,30398.0,6.6,False,268.0,5.5909869805108565
河南省,411500,信阳市,2016-5,1961-10,乔新江,58,True,-13.0,2020-02-06,3,1.0,5.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,192.0,205.0,220.0,228.0,231.0,240.0,243.0,252.0,261.0,262.0,266.0,268.0,269.0,270.0,273.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,0,信阳市,5867475.0,41472.0,7,False,911.0,6.814542897259958
广东省,440700,江门市,2016-6,1963-1,林应武,57,False,,,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,6.0,7.0,9.0,14.0,15.0,19.0,20.0,20.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0,江门市,14192763.0,75461.0,7.9,False,396.0,5.981414211254481
西藏自治区,540200,日喀则市,2016-6,1964-6,张延清,55,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,日喀则市,731016.0,60660.0,10.7,False,79.0,4.3694478524670215
西藏自治区,540400,林芝市,2016-6,1961-12,马升昌,58,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,林芝市,652800.0,104733.0,10.1,False,19.0,2.9444389791664403
河北省,131000,廊坊市,2016-6,1965-9,冯韶慧,54,False,,,3,0.0,0.0,0.0,2.0,6.0,9.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,20.0,22.0,24.0,26.0,28.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0,廊坊市,8648469.0,91067.0,11.75,False,474.0,6.161207321695077
四川省,511500,宜宾市,2016-6,1962-11,刘中伯,57,True,-10.0,2020-02-06,3,0.0,0.0,0.0,1.0,1.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0,宜宾市,7516818.0,61785.0,9.15,False,555.0,6.318968113746434
四川省,511300,南充市,2016-7,1962-6,宋朝华,57,False,,,3,0.0,0.0,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,0,南充市,6692215.0,6421762.0,8.82,False,733.0,6.597145701886651
四川省,511000,内江市,2016-7,1964-10,马波,55,True,-12.0,2020-02-06,3,0.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,内江市,4772911.0,36639.0,7.57,False,415.0,6.028278520230698
河南省,411200,三门峡市,2016-8,1963-10,刘南昌,56,False,,,3,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,三门峡市,4316182.0,64155.0,10.2,False,228.0,5.429345628954441
河南省,411400,商丘市,2016-8,1965-2,王战营,54,False,,,3,0.0,0.0,0.0,6.0,7.0,14.0,18.0,27.0,29.0,36.0,50.0,60.0,61.0,65.0,72.0,76.0,82.0,83.0,86.0,86.0,87.0,88.0,90.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0,商丘市,4793000.0,26550.0,6.3,False,987.0,6.894670039433482
贵州省,520600,铜仁市,2016-8,1970-1,陈昌旭,50,False,,,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,铜仁市,2077400.0,47300.0,12.43,False,440.0,6.0867747269123065
安徽省,340600,淮北市,2016-8,1965-2,黄晓武,54,True,-14.0,2020-02-09,3,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,11.0,14.0,17.0,22.0,22.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0,淮北市,6229180.0,59210.0,6.89,False,217.0,5.37989735354046
福建省,350700,南平市,2016-9,1964-3,袁毅,55,False,,,3,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0,南平市,5263855.0,66739.0,6.4,False,319.0,5.765191102784844
辽宁省,210800,营口市,2016-9,1961-1,赵长富,59,False,,,3,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,营口市,8078204.0,73693.0,4.68,False,232.0,5.44673737166631
江西省,360500,新余市,2016-9,1968-1,蒋斌,52,True,-13.0,2020-02-06,3,1.0,1.0,1.0,3.0,3.0,11.0,11.0,28.0,40.0,43.0,50.0,59.0,69.0,78.0,87.0,95.0,100.0,105.0,110.0,117.0,121.0,124.0,127.0,129.0,129.0,129.0,129.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,0,新余市,7565744.0,87546.0,8.4,False,122.0,4.804021044733257
江西省,360800,吉安市,2016-9,1963-11,胡世忠,56,True,-13.0,2020-02-06,3,1.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,11.0,12.0,13.0,15.0,15.0,15.0,16.0,17.0,17.0,18.0,19.0,21.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0,吉安市,2531933.0,45796.0,8.87,False,536.0,6.284134161070802
河南省,410300,洛阳市,2017-1,1963-9,李亚,56,False,,,3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,12.0,17.0,21.0,24.0,25.0,25.0,27.0,28.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0,洛阳市,16555755.0,75677.0,9.2,False,737.0,6.602587892189336
云南省,530900,临沧市,2017-1,1965-1,杨浩东,55,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,临沧市,1065841.0,31627.0,10,False,239.0,5.476463551931511
云南省,532900,大理白族自治州,2017-1,1961-6,陈坚,58,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,,,,,True,,
西藏自治区,540100,拉萨市,2017-1,1967-2,白玛旺堆,53,False,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,拉萨市,2878800.0,,,False,54.0,3.9889840465642745
湖北省,420500,宜昌市,2017-1,1964-5,周霁,55,True,0.0,2020-01-24,3,1.0,1.0,20.0,31.0,51.0,63.0,117.0,167.0,276.0,353.0,392.0,452.0,496.0,563.0,610.0,633.0,711.0,749.0,772.0,784.0,810.0,877.0,906.0,901.0,895.0,904.0,907.0,891.0,895.0,914.0,917.0,924.0,926.0,927.0,929.0,931.0,931.0,0,宜昌市,16525000.0,112313.0,4.1,False,392.0,5.971261839790462
新疆维吾尔自治区,653000,克孜勒苏柯尔克孜自治州,2017-10,1963-10,安征宇,56,False,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,
四川省,511800,雅安市,2017-11,1961-4,兰开驰,58,False,,,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,雅安市,2398237.0,37833.0,8.6,False,154.0,5.0369526024136295
湖北省,422800,恩施土家族苗族自治州,2017-11,1965-8,柯俊,54,True,0.0,2020-01-24,2,0.0,11.0,17.0,25.0,38.0,51.0,66.0,75.0,87.0,105.0,111.0,123.0,138.0,144.0,157.0,160.0,171.0,187.0,195.0,203.0,229.0,237.0,244.0,247.0,249.0,250.0,249.0,244.0,245.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,252.0,0,,,,,True,,
安徽省,340300,蚌埠市,2017-12,1962-1,汪莹纯,58,False,,,2,1.0,1.0,1.0,3.0,3.0,3.0,8.0,15.0,16.0,26.0,37.0,43.0,48.0,64.0,88.0,99.0,115.0,126.0,134.0,141.0,146.0,149.0,153.0,157.0,158.0,158.0,159.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0,蚌埠市,8445969.0,46538.0,9.4,False,381.0,5.942799375126701
安徽省,340500,马鞍山市,2017-12,1964-5,张岳峰,55,False,,,2,0.0,4.0,7.0,7.0,10.0,11.0,14.0,14.0,22.0,27.0,28.0,28.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,34.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0,马鞍山市,10425427.0,108939.0,8.9,False,229.0,5.43372200355424
河南省,410200,开封市,2017-12,1967-1,侯红,53,False,,,2,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,8.0,11.0,11.0,12.0,17.0,18.0,20.0,21.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,开封市,6887402.0,42413.0,7,False,559.0,6.326149473155099
