y,t,g,Q
0,0,0.3152819845879896,0.39551515210782834
0,0,0.24632090006561794,0.28973585950451125
0,0,0.2965791146168918,0.3607896811709478
0,1,0.3185654504168937,0.4645722264870589
1,1,0.4263777444698234,0.3404588915133694
0,0,0.17581643538147929,0.34939060199631233
0,0,0.3270535865767863,0.40639876426398264
1,0,0.23718923387958404,0.24357856126972444
0,0,0.47023263813154687,0.38864124104896014
1,0,0.3209051065869505,0.4118510372975777
0,1,0.4785516449282462,0.5017330688607039
1,0,0.5355869635803512,0.3372358899641474
0,0,0.406184648378808,0.34754726717808476
0,0,0.5403525329831534,0.3806299175657105
1,0,0.46218942500793286,0.3994111555049495
0,1,0.15766454658949458,0.21005597707555052
0,0,0.2502091727145611,0.24379767985430578
0,1,0.2644989789122022,0.44201175771152246
1,0,0.30698609772359764,0.3914667722970942
0,1,0.3981851624230519,0.44067518748905365
1,0,0.3440802474422599,0.3694127213520444
0,1,0.14302472866854654,0.3607779756755728
1,0,0.27179925009086514,0.4110851560837446
1,1,0.40052731846816375,0.4191460108980553
0,1,0.4413923870471982,0.4200428349823509
1,1,0.4654778864431223,0.45354732954636057
0,0,0.2921502840367499,0.4270374378276741
1,1,0.43664951965608606,0.33527719754267915
0,0,0.3128203654970859,0.3529705343003382
0,1,0.17283990826910908,0.4498120756774554
0,1,0.4301583340703202,0.4070047086450288
0,1,0.2532520716697959,0.24365752578485786
0,1,0.294693693191425,0.3487560833449331
0,0,0.12235137200186118,0.19243862993359984
0,1,0.5092881084041371,0.43125088343765644
0,1,0.26168704824077194,0.38111125908051713
0,1,0.2789287286931276,0.4129113520272415
1,1,0.3006270300633965,0.2987787659442871
1,0,0.3207301699095657,0.41384991962382073
1,1,0.46850137105102085,0.37284047311449636
0,0,0.1615476101901987,0.16635701016026627
1,0,0.3743827211988411,0.3141597180452703
1,0,0.17149072409051283,0.47025677705396535
1,1,0.19881373894462862,0.3418071034398264
1,1,0.45290164284845674,0.37950693399117297
0,0,0.2642351318655871,0.3695644129489703
0,0,0.2879038061716034,0.3925771985900399
1,1,0.4750868958507258,0.4776668875342818
0,0,0.30712421578501575,0.36854360263496105
1,0,0.5234759861646664,0.48179283104254667
0,0,0.4925630316329532,0.3708498736582607
1,0,0.2392755466238236,0.2532411708672014
1,1,0.3533554960623424,0.38062685599044194
1,0,0.2618082271343998,0.3291759633460384
1,0,0.30453211709860595,0.37720125432069224
0,1,0.3820161545985845,0.5048030906503573
1,0,0.47450589657097364,0.39512844821547655
1,0,0.19932921436955198,0.4990612959924455
0,0,0.471818005236944,0.43461358157906765
0,0,0.4518887569393936,0.3892151740022087
0,1,0.3449630451458751,0.358489018830543
1,0,0.26495779690485755,0.2697427109818983
0,0,0.253103989445015,0.25013013084178704
0,1,0.490841766953325,0.38070586596461536
1,0,0.2294239360127619,0.2443569672685103
0,0,0.18004595726783185,0.4338116916581082
0,0,0.5446517605290052,0.34235704069273554
0,0,0.5525763660194105,0.3971669569242823
1,0,0.14681606746953585,0.22773345247121732
0,1,0.4565551389800377,0.3459721658519023
0,1,0.3801182450946177,0.4324936064806968
0,1,0.35085650913444455,0.44956393473720463
0,0,0.3375766647557519,0.4257776946586973
0,0,0.46384971313489687,0.6665911054346042
0,1,0.28271731607122047,0.37059064943593023
1,0,0.4929088034328254,0.458479816357397
0,0,0.2956082920514727,0.3905998304584244
0,0,0.38595827742950495,0.4020266819566544
1,1,0.43996734628564044,0.31965084882795336
0,0,0.19395293203478936,0.4335165185512667
0,0,0.2826406962526656,0.4342089253401058
0,0,0.47740924157551423,0.36969995894252905
0,0,0.3374679560456447,0.4309951791012539
0,0,0.1588909309212222,0.17120550487940753
0,0,0.1912730076597647,0.4543158113008908
0,0,0.45013621512171953,0.4393910920980646
1,0,0.4646218416242097,0.4173676732741058
0,1,0.4553313601849009,0.4046404716324959
0,0,0.4885927957261126,0.3664512719074004
0,0,0.1383198074924155,0.16796887783266054
0,1,0.48217549757343614,0.4289701765071151
1,1,0.2809195954184824,0.43009585124983557
0,1,0.3268028873342332,0.3610112837991555
1,0,0.2850254208824628,0.3516379575129841
0,0,0.3369407775493227,0.4257974576077366
0,1,0.3392175048552699,0.4140209408559115
0,0,0.3451773338880351,0.3424353649160663
1,0,0.2889092417059633,0.3569651721328876
1,0,0.21169911938972288,0.43398828256506894
0,0,0.17186480087553851,0.48264844033832793
1,1,0.42002075608574946,0.4063818866024992
0,1,0.5085450847446051,0.40884086720477647
0,0,0.2052085541591985,0.37469769848554535
0,0,0.24242342530251842,0.2943758851414292
0,0,0.1557326046084199,0.4835562887062328
0,1,0.42074361980559155,0.38624109624692043
1,1,0.45755492496461037,0.37780576171207836
0,1,0.3242903221683661,0.37871362444585227
0,0,0.29381517105616006,0.3223012410271668
0,0,0.25844465809883216,0.2920468649324816
0,0,0.31622849671796505,0.42789894266791967
1,1,0.3194609475584275,0.33260903982039297
0,0,0.14421748348392263,0.275205439433242
0,0,0.2569131364825776,0.359121854487551
0,1,0.27463786702449317,0.41640293528350353
0,0,0.4670354201699948,0.5155453213904815
0,0,0.5190054894739866,0.3999780682042404
1,0,0.39014235209029036,0.3428563372282497
0,1,0.44663993228678056,0.41462913621636144
1,1,0.3073548863113122,0.37904398683301893
0,1,0.3945021942418314,0.3925890392067278
0,0,0.33455303952455734,0.3846328955254065
0,1,0.4683805197447298,0.38883013453020426
1,0,0.30301622727150385,0.4250553400688762
1,1,0.5152194826681481,0.31438468038316175
1,0,0.1413269689460559,0.20262280134563604
1,0,0.30704421282072253,0.32706240822255184
1,0,0.17984046494632344,0.4377019288674856
1,1,0.308778170326656,0.34671613639228444
0,1,0.30489446585826663,0.40592555530474844
1,1,0.3173883505452393,0.37286742348089813
0,0,0.46469218716836813,0.41088379527999125
1,0,0.3094549883898588,0.35235039594065837
0,0,0.30276973173613514,0.4440230596860868
1,1,0.5089780301571173,0.4881439999182996
0,0,0.4919693425887621,0.3390624557862741
0,1,0.41609783103120207,0.3450147112778374
0,0,0.1807804177637515,0.4479334181414696
0,0,0.49343028126870875,0.3933144195055799
1,1,0.17059512654245051,0.40465823916654453
0,0,0.3245543865973559,0.3860387340720172
0,0,0.26949416513806973,0.448728239744337
0,1,0.44531065550479293,0.3565877092576504
1,1,0.4500312300042017,0.42909923819539714
0,0,0.5833770781367638,0.3733437599474
0,0,0.32274769508796997,0.46578819982220643
1,0,0.3144319539042362,0.35322722137429685
1,0,0.205263868591701,0.4052991271917953
1,0,0.2372352719804219,0.45838483663576385
0,1,0.17684588054242928,0.4610395681245369
0,0,0.14345547127967542,0.3107471641919826
1,0,0.22367840774078862,0.4694013656851818
0,0,0.23629253495090888,0.27591514255025373
0,0,0.1473557255801358,0.23605626388401765
1,1,0.18324454220331024,0.5309106955588198
1,1,0.2787895361546768,0.38958543445715355
0,0,0.3165148633593021,0.4040538697594297
0,0,0.22680327693907354,0.3332296430411868
0,0,0.3528833337099227,0.4148259842393506
1,0,0.16228624149029522,0.43759533859303346
1,0,0.47340262676762157,0.36775029169776907
1,0,0.17880451314500687,0.47279295274767286
0,1,0.17302889227776824,0.5343902463877552
0,0,0.30524348531490997,0.4138648958454337
1,0,0.42625496607913693,0.36574770305307386
1,0,0.18326925567006086,0.49658164658319076
1,0,0.22628988178657825,0.5336202794136098
0,0,0.3093182800748546,0.4058975245532371
0,0,0.2240725349564487,0.464841687323977
0,0,0.20801084852568488,0.47313835907197227
1,1,0.3127567372819021,0.4572579852267758
0,0,0.16651023435467158,0.4408795465039254
0,1,0.16720583394628594,0.4480642932559673
0,0,0.2872285203679946,0.43136274080909126
1,0,0.4593243846351985,0.37146440588574425
0,0,0.31571028141892943,0.4076168697500279
0,0,0.274957213867746,0.23321820625945192
0,1,0.4920791454950917,0.4495500735895709
0,0,0.3000987027329809,0.4080172121794005
0,1,0.46745112256577626,0.36129244765849206
1,1,0.313905167554569,0.35539378206004385
0,0,0.2609346543636289,0.3637873758509568
0,0,0.2445784752619544,0.3255036874174525
0,0,0.3536921423436682,0.43485427856987624
0,0,0.27091878927729174,0.3246322666676697
1,1,0.2884277532668819,0.45335814893079623
1,0,0.30520741667336365,0.3713346253258401
1,0,0.20652611162151577,0.4593371060897024
1,0,0.2353447670852367,0.4936650718132172
1,1,0.44719641621170253,0.46067954186428023
0,0,0.19462994338854964,0.4394135484965368
0,0,0.4503282592155305,0.4615977411304369
1,0,0.3384281702095623,0.4372423370894276
0,0,0.34894757378378927,0.4273808507283542
0,0,0.14599078803836096,0.2115918551933334
1,0,0.18275425164080453,0.3504337835964281
0,0,0.15279777066903832,0.271226589771272
1,0,0.2772951376903924,0.36000355079652274
0,0,0.2159917232864246,0.4116553128639563
0,0,0.37462379332010903,0.4159200735688043
1,1,0.30902992170049387,0.3606098929140182
0,1,0.31399699412265125,0.3685945155825373
1,0,0.36645677086561446,0.3671642246970314
1,0,0.18340630734797117,0.4620075381183174
0,0,0.3879749832002264,0.3785714872194683
0,0,0.48740517822987395,0.4192931456455906
1,0,0.19628421589936387,0.4188433784414633
0,1,0.3005959214417062,0.3971041821197745
1,0,0.13967727526521967,0.22766935524547857
0,0,0.2161016678305966,0.5401492731390355
1,1,0.4649504628140255,0.33194864723263773
0,0,0.1650590093134435,0.46175400460024624
0,1,0.33864529018347217,0.400197565084303
1,0,0.2699168302217033,0.37291222661720064
1,1,0.4958638963387642,0.37533556394373346
0,0,0.3299780410222686,0.31756762596746596
0,0,0.28744728467114533,0.3680512266019967
0,1,0.27067472674534265,0.3693797856928222
0,1,0.49339924015137665,0.36776413206317454
0,0,0.47514971343517404,0.44031811311948854
1,0,0.283753985420889,0.40210388835750427
1,0,0.46273392182724893,0.3901609516975908
0,0,0.3243453673135825,0.3686255337793033
0,0,0.2793166521103214,0.5888500023075551
1,0,0.2603658182022681,0.43594547855078847
1,0,0.478977953486525,0.4212109636016246
0,1,0.3855405319335563,0.41057694634005404
0,1,0.41805064740817666,0.4607088976287987
0,0,0.18431917141468496,0.4489820387844254
1,1,0.3514742254239067,0.3189753094413984
1,1,0.2870051877584121,0.32478861992332403
1,0,0.1970682747499787,0.47118281517219074
0,0,0.28263790683530016,0.3766638012917825
1,0,0.33091406776730126,0.4048466958109919
0,0,0.49390857513929043,0.41659937369662436
0,1,0.5030446135588499,0.4810089258676065
0,0,0.19509620362492036,0.46563260333429457
0,0,0.2972900826755177,0.38215357088349056
0,0,0.2635037231786837,0.39698459838878647
1,0,0.29939574618978976,0.3851999389718687
0,0,0.29839602271768206,0.30922089242106593
1,0,0.30741003624942165,0.29332880425871477
0,0,0.17288291195500205,0.2645715283206571
1,0,0.502196410374147,0.34392465843122144
1,0,0.4638630765294189,0.39029152699296016
1,0,0.47715166424452177,0.3660616652129575
1,0,0.29637041523720037,0.3123228573778214
0,0,0.3015263214615669,0.38466268706185114
0,0,0.21918633331434278,0.45281852307527265
0,1,0.46246975468300316,0.636737544055055
1,0,0.3060129839037229,0.42548808291983997
0,0,0.16017596305717785,0.18835255425615854
1,0,0.3470040275163277,0.3561284673775273
0,0,0.31683398345955616,0.38464133756894586
0,0,0.32270326752249356,0.40203001830709184
1,0,0.45820071000550117,0.540351607972479
0,0,0.5307489428384583,0.33054816172605295
0,0,0.1946831692893305,0.4895744152384765
0,1,0.2653379758509943,0.33312724700564694
1,0,0.29624287945085304,0.45551082901886186
0,1,0.2921942159147436,0.4174212649618711
1,0,0.4482696854904016,0.45174977300347585
1,1,0.3502830329100372,0.31497072511699
0,0,0.31391562467622436,0.3764680622423567
